"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Barbados","BRB","Population ages 15-64, total","SP.POP.1564.TO","132382","132197","131656","131223","130810","130591","130695","130996","131538","132451","133831","135642","137832","140283","142860","145542","148284","150957","153435","155641","157516","159054","160287","161276","162121","162922","163755","164655","165587","166469","167488","168861","170290","171504","172506","173315","174063","174813","175591","176373","177092","178066","179187","180271","181505","182834","184211","185449","186290","186726","187188","187801","188316","188759","189156","189546","189957","190183","190140","189881","189385","188748","",
"Brunei Darussalam","BRN","Population ages 15-64, total","SP.POP.1564.TO","43405","45022","46764","48781","51129","53814","56813","60088","63574","67204","70888","74423","77685","81010","84717","88780","93093","97556","102062","106512","110861","115115","119496","124169","129078","134198","139487","144851","150212","155557","160897","165858","170032","173965","178263","182968","188168","193927","200183","206787","213615","220592","227635","234650","241545","248254","254755","261099","267340","273510","279627","285068","289702","294027","298172","302199","305956","309358","312397","315086","317577","319969","",
"Bhutan","BTN","Population ages 15-64, total","SP.POP.1564.TO","126251","130143","134394","138732","143021","147252","151412","155771","160344","165152","170161","175330","180661","186168","191858","197748","203857","210197","216783","223534","230378","237321","244365","251609","259097","266785","274690","282822","291136","299637","307609","312908","301403","288329","289600","294439","301689","309035","317382","327962","340261","353335","367183","381792","397204","411314","422358","432094","441750","451111","460133","468827","477108","484970","492615","500206","507791","516402","525958","535278","544166","552490","",
"Botswana","BWA","Population ages 15-64, total","SP.POP.1564.TO","258774","261709","264896","268317","272766","274992","274005","272907","271888","271175","271641","276573","289032","307401","328157","349897","372566","396143","420658","446041","471768","496427","517712","536885","556582","576937","597903","619501","641956","665534","690293","716146","744282","774697","805803","837313","869357","901605","933544","965072","996249","1026961","1056697","1085463","1113887","1142326","1171271","1201411","1232906","1265019","1296818","1326859","1354844","1382815","1411719","1442111","1474947","1509630","1544215","1577834","1611382","1643461","",
"Central African Republic","CAF","Population ages 15-64, total","SP.POP.1564.TO","937301","950685","964495","978558","994695","1013494","1033405","1054191","1075828","1098030","1119285","1138344","1155800","1173155","1191469","1210932","1226620","1237984","1249396","1260933","1272744","1285031","1297959","1311597","1325652","1339623","1353391","1367000","1384972","1416036","1456141","1498233","1544346","1594097","1646045","1692623","1738516","1790436","1844220","1900843","1960217","2008702","2058124","2111996","2158494","2208794","2250529","2287010","2330951","2377925","2421653","2443243","2437306","2422105","2381123","2365018","2406067","2451013","2498715","2559349","2634787","2691324","",
"Canada","CAN","Population ages 15-64, total","SP.POP.1564.TO","10494001","10675681","10869371","11089817","11339648","11607495","11913272","12241477","12562690","12860518","13195025","13760122","14075044","14400708","14758665","15124940","15462972","15772616","16051583","16324135","16630720","16904979","17149439","17345144","17524588","17694335","17871252","18089501","18297611","18600984","18847999","19040955","19225645","19411102","19619681","19832495","20058467","20284244","20489628","20710473","20968129","21262292","21558268","21812234","22077714","22350146","22624574","22865623","23111668","23361613","23592245","23758358","23910513","24036987","24147355","24190332","24330226","24502656","24742773","24987960","25147617","25145037","",
"Central Europe and the Baltics","CEB","Population ages 15-64, total","SP.POP.1564.TO","58247293","58713387","59335947","60086284","60884982","61609245","62373971","63281548","64127753","64878734","65505920","66058404","66624459","67094379","67466367","67779442","68032050","68229537","68414514","68581998","68846645","69277060","69913368","70692247","71305419","71688807","71996700","72273718","72521186","72681133","72824873","72867493","72878918","73088024","73341134","73499686","73598333","73733720","73912988","74131301","74081116","73906553","73753285","73834715","73910203","73924277","73885123","73692356","73433487","73210772","72822461","72440110","71943657","71400952","70810853","70175130","69484057","68760704","68068987","67430746","66798095","65948655","",
"Switzerland","CHE","Population ages 15-64, total","SP.POP.1564.TO","3502255","3571040","3657197","3735926","3794278","3827546","3856051","3897228","3945064","3990159","4009900","4019064","4051010","4087200","4115690","4119947","4104998","4104340","4122417","4153624","4197185","4250033","4304232","4348689","4385670","4419161","4449653","4482133","4515453","4548888","4589545","4640714","4682667","4712180","4739178","4762122","4774804","4779629","4789788","4809903","4835920","4877527","4930436","4977367","5020418","5060219","5097421","5146837","5215088","5277274","5324519","5373298","5418212","5467989","5521551","5571771","5618817","5653337","5674165","5694350","5719712","5741547","",
"Channel Islands","CHI","Population ages 15-64, total","SP.POP.1564.TO","71246","71965","72673","73459","74289","75070","75802","76501","77123","77660","78124","78628","79347","80269","81318","82463","83310","83732","84131","84658","85278","86233","87614","89102","90524","91864","93125","94323","95488","96574","97545","98038","98000","97883","97773","97703","97812","98141","98544","98955","99380","99886","100562","101341","102187","103141","104234","105391","106466","107437","108347","108697","108707","109144","109630","110274","111076","111911","113535","115479","117032","118307","",
"Chile","CHL","Population ages 15-64, total","SP.POP.1564.TO","4648408","4737863","4832118","4930235","5031822","5137715","5246572","5356479","5468361","5583550","5703775","5829624","5958524","6090686","6228429","6370665","6514831","6660468","6807577","6955993","7105263","7253684","7401437","7548447","7694101","7839327","7985430","8133324","8281001","8424736","8564931","8703946","8842834","8981860","9121594","9262532","9405318","9551155","9700428","9853407","10010039","10169856","10333879","10502180","10674260","10850217","11028048","11202016","11369721","11532057","11686611","11832020","11967095","12091158","12211695","12328424","12467153","12668844","12909544","13146408","13314429","13423378","",
